City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,gorontalo,0.5412,123.0595,23.89,97,100,1.2,ID,1738278368
159,acarau,-2.8856,-40.12,25.55,87,49,4.62,BR,1738278369
160,hermanus,-34.4187,19.2345,22.11,72,37,5.72,ZA,1738278370
161,mount gambier,-37.8333,140.7667,19.8,52,54,1.89,AU,1738278371
162,thunder bay,48.4001,-89.3168,-1.01,80,75,2.57,CA,1738278364
163,klyuchi,52.2667,79.1667,-13.24,95,100,4.27,RU,1738278374
164,tiksi,71.6872,128.8694,-25.59,99,100,1.93,RU,1738278375
165,arauquita,7.0292,-71.4281,27.84,62,76,0.87,CO,1738278376
166,whistler,50.1164,-122.9695,0.57,93,100,2.57,CA,1738278378
167,hadibu,12.65,54.0333,22.6,78,65,4.56,YE,1738278379
168,vilhena,-12.7406,-60.1458,28.12,61,40,3.6,BR,1738278380
169,yanaul,56.2719,54.9309,-1.75,97,100,3.5,RU,1738278381
170,zdunska wola,51.5992,18.9397,7.28,87,64,3.66,PL,1738278383
171,pacific grove,36.6177,-121.9166,12.99,79,75,3.13,US,1738278384
172,lompoc,34.6391,-120.4579,13.94,65,20,4.63,US,1738278386
173,mar del plata,-38.0023,-57.5575,24.49,80,0,9.83,AR,1738278374
174,trondheim,63.4305,10.3951,1.66,89,100,0.89,NO,1738278388
175,alpena,45.0617,-83.4327,-0.16,79,0,3.09,US,1738278390
176,egilsstadir,65.2653,-14.3948,3.95,70,75,10.8,IS,1738278392
177,san juan nepomuceno,9.9516,-75.082,28.21,65,100,3.62,CO,1738278393
178,ilulissat,69.2167,-51.1,-6.99,45,63,9.77,GL,1738278394
179,saint-francois,46.4154,3.9054,5.69,88,100,3.09,FR,1738278396
180,la sarre,48.8002,-79.1996,-12.11,98,99,1.83,CA,1738278397
181,san-pedro,4.7485,-6.6363,26.72,85,8,2.22,CI,1738278398
182,west island,-12.1568,96.8225,26.99,94,100,4.12,CC,1738278399
183,kilindoni,-7.9139,39.6668,27.19,84,45,6.01,TZ,1738278401
184,colotlan,22.1,-103.2667,24.3,19,43,7.69,MX,1738278402
185,morehead city,34.7229,-76.726,13.0,76,0,1.54,US,1738278403
186,hacienda la calera,-32.7833,-71.2167,20.52,58,2,1.89,CL,1738278401
187,boguchany,58.3814,97.4531,-34.38,100,75,1.52,RU,1738278406
188,kapuskasing,49.4169,-82.4331,-11.29,98,100,1.19,CA,1738278407
189,saldanha,-33.0117,17.9442,18.62,83,73,4.82,ZA,1738278408
190,fortuna,40.5982,-124.1573,12.51,67,0,2.57,US,1738278409
191,san patricio,28.017,-97.5169,22.97,66,100,5.02,US,1738278410
192,port elizabeth,-33.918,25.5701,21.29,93,32,1.34,ZA,1738278412
193,guerrero negro,27.9769,-114.0611,15.71,61,0,6.96,MX,1738278413
194,barra de santo antonio,-9.4047,-35.5072,25.93,74,6,4.89,BR,1738278414
195,keminmaa,65.8596,24.8228,-0.13,100,100,2.57,FI,1738278416
196,fale old settlement,-9.3852,-171.2468,28.79,69,30,8.11,TK,1738278417
197,andratx,39.5755,2.4202,10.25,89,58,0.81,ES,1738278418
198,impfondo,1.6381,18.0667,22.55,29,47,1.12,CG,1738278136
199,bubaque,11.2833,-15.8333,25.1,74,12,3.76,GW,1738278421
200,quelimane,-17.8786,36.8883,22.39,98,91,1.84,MZ,1738278423
201,davlekanovo,54.2215,55.0343,-2.46,96,99,3.3,RU,1738278424
202,grand-bassam,5.2118,-3.7388,27.98,84,4,3.4,CI,1738278426
203,shumikha,55.2261,63.2961,-18.3,99,88,2.53,RU,1738278427
204,tralee,52.2704,-9.7026,8.34,88,100,4.09,IE,1738278428
205,curitibanos,-27.2828,-50.5844,17.06,100,98,0.78,BR,1738278429
206,pagar alam,-4.0167,103.2667,18.52,97,68,1.27,ID,1738278430
207,nowa sol,51.8033,15.717,7.18,82,100,4.37,PL,1738278432
208,hilo,19.7297,-155.09,28.85,67,40,10.29,US,1738278433
209,fort mcmurray,56.7268,-111.381,-21.83,94,7,1.11,CA,1738278434
210,canutama,-6.5339,-64.3831,24.01,92,87,0.56,BR,1738278436
211,vorgashor,67.5833,63.95,-18.84,99,99,2.0,RU,1738278337
212,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,6.17,EC,1738278149
213,saddiqabad,28.3062,70.1307,13.7,28,0,3.52,PK,1738278439
214,mkushi,-13.6202,29.3939,17.41,98,100,1.89,ZM,1738278441
215,tual,-5.6667,132.75,28.6,78,97,6.62,ID,1738278442
216,chonchi,-42.6128,-73.8092,17.84,74,23,3.49,CL,1738278443
217,magadan,59.5667,150.8,-21.97,72,0,4.43,RU,1738278347
218,keflavik,64.0049,-22.5624,1.24,64,40,5.66,IS,1738278446
219,avarua,-21.2078,-159.775,30.03,79,100,6.17,CK,1738278447
220,mana,5.6592,-53.7767,25.4,87,97,4.57,GF,1738278448
221,hovd,48.0056,91.6419,-19.08,78,54,1.65,MN,1738278237
222,kolasib,24.2333,92.7,9.32,94,87,0.67,IN,1738278452
223,macapa,0.0389,-51.0664,25.99,100,100,1.54,BR,1738278454
224,kursavka,44.4564,42.5093,1.57,68,0,2.87,RU,1738278455
225,namibe,-15.1961,12.1522,22.98,78,73,3.63,AO,1738278456
226,meadow lakes,61.6247,-149.6011,-15.5,72,0,1.54,US,1738278457
227,grand falls-windsor,48.9332,-55.6649,-11.94,80,100,1.79,CA,1738278458
228,gaspe,48.8334,-64.4819,-17.01,74,51,7.42,CA,1738278460
229,hithadhoo,-0.6,73.0833,27.83,76,100,5.79,MV,1738278462
230,coquimbo,-29.9533,-71.3436,17.85,78,40,4.63,CL,1738278464
231,fort st. john,56.2499,-120.8529,-13.06,78,100,7.2,CA,1738278465
232,punta arenas,-53.15,-70.9167,12.06,54,0,9.77,CL,1738278403
233,souillac,-20.5167,57.5167,26.21,89,40,1.54,MU,1738278467
234,dwarka,22.2394,68.9678,20.62,75,6,5.03,IN,1738278469
235,piti village,13.4626,144.6933,28.72,76,100,10.22,GU,1738278470
236,luocheng,29.3848,104.0286,7.34,91,100,1.87,CN,1738278471
237,tocopilla,-22.092,-70.1979,22.26,74,85,3.92,CL,1738278240
238,spearfish,44.4908,-103.8594,8.49,25,0,5.66,US,1738278368
239,aykhal,66.0,111.5,-27.67,97,96,2.84,RU,1738278474
240,vorkuta,67.5,64.0,-18.58,99,99,1.71,RU,1738278476
241,waslala,13.2333,-85.3833,27.3,60,61,3.59,NI,1738278477
242,taltal,-25.4,-70.4833,20.72,79,25,2.25,CL,1738278478
243,basco,20.4487,121.9702,22.29,83,100,12.25,PH,1738278479
244,rawa mazowiecka,51.7644,20.2549,5.56,80,67,3.54,PL,1738278481
245,qashyr,53.0675,76.1036,-16.34,96,100,3.5,KZ,1738278482
246,quepos,9.4236,-84.1652,27.45,80,20,1.48,CR,1738278484
247,cururupu,-1.8283,-44.8683,23.11,100,64,0.45,BR,1738278486
248,xinzhou,38.4092,112.7333,-5.83,83,100,0.43,CN,1738278487
249,valle de la pascua,9.2155,-66.0073,28.49,60,90,5.86,VE,1738278488
250,dudinka,69.4058,86.1778,-23.16,97,100,6.41,RU,1738278489
251,ingeniero jacobacci,-41.3427,-69.5448,27.33,12,0,15.93,AR,1738278491
252,sisimiut,66.9395,-53.6735,-9.25,65,85,7.36,GL,1738278492
253,preobrazheniye,42.9019,133.9064,-12.36,70,2,3.51,RU,1738278493
254,klaksvik,62.2266,-6.589,3.23,63,100,8.12,FO,1738278494
255,saint john,45.2727,-66.0677,-13.43,61,20,4.63,CA,1738278341
256,vorsma,55.9856,43.2717,1.67,96,100,4.14,RU,1738278497
257,turochak,52.2576,87.1224,-8.99,98,100,0.26,RU,1738278498
258,yamada,39.4667,141.95,-1.22,65,92,1.14,JP,1738278499
259,vernon,50.2581,-119.2691,1.91,62,100,1.34,CA,1738278501
260,maumere,-8.6199,122.2111,25.71,90,100,5.14,ID,1738278502
261,quesnel,52.9999,-122.5029,-0.59,92,100,0.55,CA,1738278503
262,essaouira,31.5125,-9.77,14.38,58,1,11.56,MA,1738278504
263,saint-philippe,-21.3585,55.7679,27.13,82,90,3.86,RE,1738278505
264,kikwit,-5.041,18.8162,22.58,88,100,0.97,CD,1738278508
265,port lincoln,-34.7333,135.8667,19.15,69,3,6.93,AU,1738278509
266,sinabang,2.4803,96.3801,24.97,83,29,0.92,ID,1738278510
267,boende,-0.2167,20.8667,25.54,57,98,1.21,CD,1738278511
268,mohr,54.3528,9.7167,2.76,93,75,3.09,DE,1738278513
269,badger,64.8,-147.5333,-25.48,75,75,0.0,US,1738278514
270,torghay,49.6339,63.4981,-7.68,96,100,2.23,KZ,1738278515
271,chul'man,56.8479,124.9104,-33.58,99,100,0.63,RU,1738278516
272,thurgoona,-36.0451,146.9919,27.03,44,1,1.79,AU,1738278518
273,sayat,38.7839,63.8803,0.94,61,3,3.37,TM,1738278519
274,san fernando,15.0286,120.6898,24.85,81,91,3.63,PH,1738278520
275,binjai,3.6001,98.4854,24.97,98,30,0.63,ID,1738278521
276,lensk,60.7253,114.9278,-34.4,100,87,1.33,RU,1738278523
277,changping,40.2186,116.2197,-5.67,71,100,0.35,CN,1738278524
278,minas de marcona,-15.2119,-75.1103,19.39,71,87,6.4,PE,1738278526
279,sechura,-5.5569,-80.8222,26.01,60,20,8.53,PE,1738278527
280,ardakan,32.31,54.0175,3.34,47,52,3.03,IR,1738278529
281,onguday,50.75,86.15,-17.41,96,90,1.2,RU,1738278530
282,karwar,14.8,74.1333,22.74,52,54,1.67,IN,1738278531
283,gadani,25.1185,66.7299,18.47,36,3,6.82,PK,1738278532
284,rikaze,29.25,88.8833,-2.54,24,0,2.03,CN,1738278533
285,cadale,2.7603,46.3222,24.44,87,14,6.74,SO,1738278534
286,wailua homesteads,22.0669,-159.378,26.18,83,100,2.24,US,1738278536
287,port douglas,-16.4833,145.4667,28.0,80,100,1.76,AU,1738278537
288,luganville,-15.5333,167.1667,27.56,84,100,5.95,VU,1738278538
289,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1738278539
290,north bend,43.4065,-124.2243,11.8,62,40,6.17,US,1738278540
291,kismayo,-0.3582,42.5454,24.54,83,42,5.38,SO,1738278541
292,broken hill,-31.95,141.4333,22.01,31,0,8.82,AU,1738278543
293,kristiansund,63.1115,7.732,5.07,87,75,3.09,NO,1738278546
294,mogocha,53.7333,119.7667,-20.34,98,100,0.87,RU,1738278547
295,alice springs,-23.7,133.8833,27.75,16,0,4.63,AU,1738278548
296,pokhara,28.2333,83.9833,11.88,45,21,2.15,NP,1738278550
297,qamdo,31.1667,97.2333,-5.87,59,85,2.86,CN,1738278551
